Date,Code: Graded Index,Peak Current,SS Current,Peak - SS +40,Branch Vector,Branch Number,Cell Letter,SGN Type,Spike Type,Spike type II,Spike Present,Classification,Age,Parent Branch Diameter,CDR w/ Type II,CDR (Type I only),Iext CCstep,CC_step Cp,CC_step Slow Tau,CC_Step A0,Cp - Fitting Area - w/Fast Cp,Fitting Area - pClamp Value,Fast - Cp Area,A1-VC Double Exp,A2-VC Double Exp,t1-VC Double Exp,t2- VC Double Exp,C-VC Double Exp,Cp Soma - VC Double Exp,Cp Compartment - VC Double Exp,Soma Cp Calc,Compartmant Cp Calc,Integral Cvc,R1,R2,A - VC Single Exp,Ao - VC Single Exp,t - VC Single Exp,C - VC Single Exp,VC Integral - Single Exp,Dialed in Cm,CC Cm,CC Cp/ VC_Cp,Rs (calc est),Code: Lat at Thresh,Response Latency (sub),SubThreshold Latency,AHP Time Constant,Code: Cthres,Code: Vthres,Code: Vm,Code: AP Height,Code: Rin,ss-30NC,ssmax_NC,g-30NC,gmax_NC,Vmid - NC,g30/gmax_NC,Escape Current Magnitude,Escape Current Delay,Cp -- CC with 10dV,dV in CC - -10pA,Initial Inject Current,First Hyperpol Step Current,H- Time Constant,H-Na Current,Rs(est),Slopes,g -30,IP,Vmid 2,Gmax,Type II Contact Number,Type II Rows,Outward Inactivation Tau,Graded Slope,Graded Index,H-Cp (pF),H-CThreshold,Voltage Threshold,H-Vrest,H-AP Hight,AP Latency (ms),Double Exp for Inactivation Outward Current,Downstroke Tau,IH Nose Present,Time to -40mV,Sigmodial?,Anode Spike Present,Age Group,Confidence,C-thres Spike Only,Current for -40mV,Vmid,AHP Decay Tau,H-Outward Current,H-Rin,H-Cp,-80: C Threshold,-80: Latency,WC(Rs),Rin (MOhms),dV at +10pA Step,Rin @ +10pA,Calc Cp @ +10 step,Time Constant - CC +10pA,Outward Current Density,R(pipette),Inward Current Density,Pred Formula H-Contact Distance,AHP Delta V,Onset to Trough Time,Trough to SS Time,MATLAB CDRPRed,Predict MP Code,Canon[1],Column 75,Age Bins,g30/gmax, soma + comp cp,A1/A2,t1/t2,Ao/10pA,Relative A2,Latency/g30,dInj Current,Max/Escapse Current Mag,Column 127,Column 128
09/09/2011,1.479492221,,,,,9,,,Transient,,Spike,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,14.66,50,-26.74560607,-53.9428723,46.3134776,0.671793635,222.7783203,2468.87207,3.891324372,18.00126342,-1.320315449,0.216169514,,,,,,,,,,20.01953144,2.252817953,,,17.97072055,,,124.71,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.125360469,,,,,,5.448016658,,,P6-P10,
09/12/2011,3.765258873,,,,,3,,,Transient,,Spike,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,13.95,40,-41.55883882,-65.92407374,56.93969854,0.395304371,446.7773438,3328.857422,7.80397107,24.27166643,-2.356436158,0.321525969,,,,,,,,,,17.57791169,5.076937379,,10.70033609,22.22727819,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.228410214,,,,,,2.268076066,,,P6-P10,
09/12/2011,1.350097686,,,,,5,,,Slow,,Spike,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,9.51,20,-23.72436576,-41.93115328,34.06982498,0.214335128,436.4013672,4741.821289,7.622731305,34.57399642,1.946161393,0.220475852,,,,,,,,,,26.53808609,4.361277655,,,36.24019985,,,237.15,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P6-P9,0.120343643,,,,,,1.862849343,,,P6-P10,
09/12/2011,2.42431646,,,,,,,,Transient,,Spike,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,16.76,60,-60.1379408,-64.61181785,45.29419047,0.237833664,405.2734375,2993.164063,7.079012009,21.82402863,-8.091321433,0.324367793,,,,,,,,,,20.66317483,5.10789983,,,21.77436474,,,194.69,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.234583185,,,,,,2.104813494,,,P6-P10,
09/15/2011,2.68737799,,,,,2,,,Transient,,Spike,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,8.9,40,-42.12646579,-57.40966925,37.69531334,0.244344081,878.90625,5117.797852,15.35207424,37.31535075,-19.66869868,0.411414443,,,,,,,,,,38.97927058,14.19039436,,-19.82998335,45.79686606,,,188.22,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.30985514,,,,,,0.775139555,,,P6-P10,
09/15/2011,2.67578131,,,,,1,,,Transient,,Spike,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,4.66,50,-42.74292088,-57.81250129,37.96386804,0.231221522,271.6064453,2321.166992,4.744217385,16.92430279,,0.280319813,,,,,,,,,,24.38583949,0.566412946,,,16.04335411,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.035305145,,,,,,1.960281169,,,P6-P10,
09/19/2011,2.268066457,,,,,3,,,Transient,,Spike,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,11.57,40,-57.64770637,-61.12060683,42.32788181,0.60597739,607.2998047,3950.805664,10.60785685,28.80647172,-15.54113823,0.368245613,,,,,,,,,,25.94496793,6.995909737,,-18.94774946,27.1294971,,,207.26,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.25787097,,,,,,1.263214633,,,P6-P10,
09/19/2011,2.651977598,,,,,4,,,Transient,,Spike,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,12.18,40,-30.51757881,-56.51855595,43.84155371,0.502726248,469.3603516,5461.425781,8.198434088,39.8208418,7.492619979,0.205882993,,,,,,,,,,34.54589868,5.418127091,,,46.11431829,,,263.62,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.117493379,,,,,,2.36630554,,,P6-P10,
09/20/2011,3.524170001,,,,,5,,,Slow,,Spike,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,11.62,30,-43.86596778,-61.54174942,44.60449318,0.310465502,920.4101563,5956.420898,16.0770333,43.42999498,-11.33396975,0.370182711,,,,,,,,,,45.5322269,12.0226567,,-4.580588939,45.77087923,,,263.24,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P6-P9,0.262670434,,,,,,0.93922801,,,P6-P10,
09/20/2011,2.727050842,,,,,6,,,Transient,,Spike,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,12.04,40,-37.37182701,-49.26757923,32.92846753,0.108642581,808.1054688,5131.225586,14.11537937,37.41325626,-29.9802464,0.377282835,,,,,,,,,,43.35950323,13.06740187,,-23.51023012,49.70966695,,,152.83,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,P6-P9,0.26287446,,,,,,0.857221027,,,P6-P10,
