"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"51"	1.194000083	2810.4	2143.6	4	"Type I"	"Transient"	"M"	3	0	27.6	14.89	20.21197055	-41.47	-48.30932725	24.99389704	1.656123797	216.0644531	2513.427734	3.774051583	18.32613171	-0.617775215	0.205938255	86.5	22.5
"52"	1.696014282	3239.7	2600.7	7	"Type I"	"Intermediate"	"P"	3	-0.25	35.6	30.74	20.09803826	-50.87	-58.5	45.07	0.938896114	302.1240234	3319.091797	5.277275518	24.20046242	2.364187771	0.218065069	88.53	24.6
"53"	0.558038871	NA	NA	NA	""	"Graded"	""	3	NA	18.5	NA	30.31364746	-40.03906339	-57.18994268	44.70825295	1.72849752	131.8359375	2169.189453	2.302811135	15.81619041	-1.637579661	0.145598344	NA	NA
"54"	1.05476513	NA	NA	3	"Type I"	"Intermediate"	"M"	3	NA	NA	30	30.16548761	-22.43042042	-43.88427832	27.31323303	0.35941177	151.3671875	3261.108398	2.643968341	23.77768861	-1.17422744	0.111195347	NA	23.1
"55"	0.56	6905.5	5856.8	1	"Type I"	"Transient"	"M"	10	0.32	7.7	3.93	130.2820528	-53.31	-61.79809708	22.64	0.216782939	1503.90625	7632.446289	26.2691048	55.65038296	-28.14700775	0.472038168	NA	7.1
"56"	0.772493238	NA	NA	NA	""	"Transient"	""	5	NA	16.2	16.47	50.58114803	-23.28491263	-46.72241315	26.91650451	0.311060641	332.6416016	3242.797852	5.810333652	23.6441811	-5.562333652	0.245740532	72.26	15.3
"57"	3.50028872	2211	2076	NA	"Type II"	"Transient"	"T"	8	NA	13	16.11	70.68277659	-60.54687635	-63.17138813	57.67822395	0.470935571	375.3662109	5517.578125	6.556615038	40.23026485	3.931077084	0.162977178	NA	12.4
"58"	2.227513015	NA	NA	NA	""	"Transient"	""	2	NA	20.5	27.99	30.35266208	-32.62329174	-57.83081184	42.0532236	0.986883781	276.4892578	1577.148438	4.829506686	11.49944739	-12.65337235	0.419977284	114.63	19.4
"59"	0.963852607	NA	NA	NA	""	"Graded"	""	2	NA	21.5	NA	20.08942153	NA	-45.34912211	25.72631893	1.731141306	120.8496094	1740.112305	2.110910208	12.68766428	-3.835605469	0.166375005	80.25	15.1
"60"	0.487829244	NA	NA	NA	""	"Graded"	""	7	NA	10.6	NA	100.7927342	-55.75561648	-61.43188614	27.77099671	0.27558728	830.6884766	4736.938477	14.50984239	34.53839442	-16.59347511	0.420107612	198.95	9
"61"	1.29	NA	NA	1	"Type I"	"Transient"	"M"	7	NA	11.5	11	40.37750651	-32.2570808	-45.37963969	21.91162158	0.297917848	646.9726563	5015.869141	11.30083242	36.57215891	-4.408756677	0.309000966	407.74	8.4
"62"	2.09195377	NA	NA	NA	""	"Transient"	""	6	NA	39.9	10.51	40.51704962	-37.53662193	-55.20630006	38.23852625	0.604081866	291.7480469	4573.974609	5.096035754	33.35017752	1.02729999	0.152803857	278.93	14.5
"63"	1.654105629	5013.4	4338	1	"Type I"	"Transient"	"M"	6	0.19	16.5	14.93	50.61154593	-39.85595792	-56.76269658	41.74804781	0.551236702	505.3710938	4053.955078	8.827442686	29.55856406	-10.03671162	0.298642474	91.21	13.9
"64"	0.806108595	NA	NA	NA	""	"Graded"	""	6	NA	14.5	NA	30.2526123	NA	-57.98339973	20.14160201	0.756785386	522.4609375	3496.704102	9.12595524	25.49548533	-12.26958345	0.35794397	193.65	10.5
"65"	2.25636966	NA	NA	NA	""	"Transient"	""	6	NA	29.3	18.18	20.10162856	-35.58349689	-55.48095827	36.65161215	0.453491443	NA	NA	NA	NA	NA	NA	168.72	31
"66"	2.210425777	NA	NA	NA	""	"Transient"	""	6	NA	31.5	34.64	30.2959353	-33.66088942	-60.45532362	50.78125114	1.223321739	140.9912109	2647.094727	2.462728575	19.30073658	10.92455656	0.127597647	175.78	NA
"67"	2.567556633	5227.1	4705.2	4	"Type I"	"Transient"	"M"	7	0.24	16.2	9.14	50.54356952	-40.86303802	-61.24878067	44.52514748	0.410856847	363.1591797	4059.448242	6.343391785	29.59861632	-10.71946969	0.214313795	268.48	15.4
"68"	4.446536816	NA	NA	NA	""	"Transient"	""	9	NA	7.1	6.38	90.75185307	-62.65258929	-66.86401517	66.80298001	0.279578045	NA	NA	NA	NA	NA	NA	NA	NA
"69"	4.674891355	NA	NA	NA	"Type I"	"Intermediate"	"M"	4	NA	21.3	26.63	30.34548148	-37.75024498	-57.12890753	62.22534319	0.8839457	276.4892578	2666.625977	4.829506686	19.4431446	-6.947179469	0.248391234	172.57	20.5
"70"	0.449789081	5774	5127	NA	"Type II"	"Transient"	"T"	8	NA	7.8	9.66	60.53705863	-49.13330188	-55.48095827	24.6276861	0.262838433	886.2304688	6909.790039	15.48000819	50.38128632	-6.02864827	0.307257105	260	6.9
"71"	1.505125921	3601.7	3157.3	4	"Type I"	"Intermediate"	"P"	5	-0.14	15.7	19.36	40.26668582	-31.49414133	-53.16162228	40.55786223	0.341929958	396.7285156	4268.188477	6.929755731	31.120602	0.067384671	0.222674219	169.99	16.3
"72"	3.131221609	3849.5	3381.3	4	"Type I"	"Intermediate"	"P"	5	-0.2	22.6	54.35	20.11263883	-34.33227616	-56.85424932	42.51098728	0.583170846	399.1699219	4622.192383	6.972400383	33.70174731	3.024461781	0.206885427	170.9	22.6
"73"	4.565371344	NA	NA	NA	"Type I"	"Transient"	"M"	10	NA	11.8	8.71	80.86703047	-56.94580205	-58.95996226	62.3474135	0.19721708	956.4208984	7127.075195	16.70604189	51.96557551	4.470345354	0.321482861	293.18	10.8
"74"	4.905828979	NA	NA	NA	"Type I"	"Intermediate"	"M"	7	NA	10.2	6.41	40.3770278	-58.22754036	-62.04223771	67.99316558	0.529118173	439.453125	3909.912109	7.676037118	28.50830493	2.598314528	0.269256174	NA	8.2
